id,lat,lon,name
7108810885,-14.9962366,22.4624949,Liumba Health Center
7108931886,-15.0838891,22.780373,Mapungo Health Center
7252216188,-15.134585,23.145751,Limulunga Clinic
7557045997,-15.4285057,28.2896854,Kamwala Clinic
7624731185,-13.4534369,32.5792001,Mnukwa Clinic
7646960186,-14.2437148,24.9662286,Kalumwange Clinic
7933809486,-11.266301,29.0536352,Mabumba Rural Health Centre
8169479043,-15.4309355,28.3137799,UTH COVID Test Centre
8378325779,-13.6246862,29.7682969,Nambo Health Post
8378479917,-13.6368579,29.403656,Tazara Health Post
8582519921,-9.8213318,29.3022694,Mukonde health post
8841266518,-13.5436947,23.1097903,Zambezi Hospital Affiliated health Centre
8842022017,-13.2183996,23.0139146,Lukunyi Health Post
8842022120,-13.4693819,23.1405431,Kamakala Health post
8844702018,-13.6097372,23.1305058,Kasesi Health Post
8844702218,-13.580719,23.2613496,Lwatembo East
8844702717,-13.489426,23.4531868,Mukenge Health Post
8844805817,-13.8347236,23.212443,Chitokoloki mission hospital
8844805917,-13.8345478,23.2116422,Chitokoloki Hospital affiliated health centre
9065701117,-13.7154266,22.9409478,Kakoto Health Post
9065703317,-13.7773435,22.9006457,Kucheka Health Facility
9346030456,-12.9678348,28.6299515,Copperbelt Provinicial Health Office
9348108965,-12.3083057,25.8394855,Kalumbila District Health Office
9350861942,-9.1224872,31.5756447,Kamuzwazi Health Post
9455626109,-12.4980278,25.9536928,Health Center F
9455626111,-12.547005,25.8888128,Hope clinic (clinic G)
9455626114,-12.5491048,25.8502319,Kamiba Clinic
9455626116,-12.4978524,25.8805446,Clinic D
9455628819,-12.437581,25.9240074,Clinic B
9455628821,-12.4250711,25.9320956,Jagaimo Clinic
9455628825,-12.3858088,25.9297433,Clinic A
9687486117,-14.0854,27.2546167,Ngabwe Rural Health Centre
9969312639,-9.882381,32.299805,Under Five Clinic
9969312640,-10.6606667,32.1148056,Kaloswe Health Post
9969312642,-11.5965298,31.9242967,Mukungule Rural Health Centre
9969312643,-10.64364,31.620001,Clinic
9969312644,-10.4953167,32.7878,Chibale Rural Health Centre
9969312645,-10.131255,32.122499,Clinic
9969312647,-9.662261,32.594954,NaN
9969312648,-11.48165,31.84524,Chabala Health Post
